机械与动力工程学院C楼,18,100
东中院二区,22,93
西南体育馆-南体,4,12
第四食堂,18,362
法华3号楼,16,24
药学楼1号楼,4,1
法华安泰综合楼,18,76
中意能源楼,18,5
学生宿舍D22,10,55
法华3号楼,10,2
药学楼1号楼,10,26
七宝网络中心,16,5
法华安泰综合楼,10,51
第四食堂,4,3
法华3号楼,22,3
凯原法学院,16,42
徐汇小白楼,8,193
第四食堂,10,164
西中院,18,17
分析测试中心3号楼,10,11
光彪楼,8,172
建筑馆,4,18
图书馆四区,8,14
机械与动力工程学院B楼－南楼,22,55
徐汇校医院,22,7
光彪楼,10,173
文选医学楼,16,57
图书馆四区,10,27
机械与动力工程学院,8,2
徐汇浩然大厦,16,141
分析测试中心3号楼,8,8
文选医学楼,18,44
机械与动力工程学院,10,13
木兰学院北楼,22,110
第一食堂,4,44
徐汇浩然大厦,18,60
燃料电池研究所,4,2
菁菁堂,18,417
学生宿舍W45,18,100
东下院,18,597
机械与动力工程学院B楼－北楼,16,74
程及美术馆,18,100
凯原法学院,4,2
西下院,8,16
学生宿舍X37,16,113
中意能源楼,10,3
法华1号楼,10,7
电信群楼3号楼,18,41
菁菁堂,8,103
东中院四区,4,4
学生宿舍D22,18,114
学生宿舍W45,8,64
机械与动力工程学院A楼－主楼,8,22
法华安泰综合楼,4,3
西下院,22,21
东中院三区,10,82
药学楼5号楼,18,34
东门,4,3
西下院,16,39
机械与动力工程学院A楼－主楼,18,67
基建处,4,1
西南体育馆-南体,10,137
人文楼,22,14
电话总机房,8,2
分析测试中心3号楼,22,18
媒体与设计实验室A楼,18,132
药学楼2号楼,8,8
第二食堂,22,235
法华10号楼,8,11
媒体与设计实验室A楼,16,62
文选医学楼,4,1
东上院,4,5
机械与动力工程学院A楼－附楼,18,52
徐汇新建楼,22,43
法华10号楼,10,11
药学楼2号楼,10,29
电话总机房,10,7
第一食堂,22,150
null,4,22
机械与动力工程学院,22,7
机械与动力工程学院A楼－附楼,16,53
药学楼4号楼,22,51
分析测试中心2号楼,4,4
药学楼7号楼,10,61
东中院四区,22,134
电信群楼1号楼,4,1
机械与动力工程学院B楼－东楼,16,88
农学生物学院-附楼二,4,1
程及美术馆,10,55
基建处,18,83
法华1号楼,18,16
东门,22,42
徐汇工程馆,18,190
徐汇中院,10,38
学生事务中心-铁生馆,16,153
学生宿舍X37,4,12
东中院三区,4,1
农学生物学院-附楼一,8,3
伍威权堂,16,157
老行政楼,18,593
木兰学院南楼,8,26
药学楼3号楼,4,4
学生事务中心-铁生馆,22,170
机械与动力工程学院B楼－北楼,8,15
学生宿舍X38,18,73
陈瑞球南楼,18,55
工程力学实验中心,10,240
徐汇法学楼,4,3
机械与动力工程学院B楼－南楼,10,54
图书馆,16,124
机械与动力工程学院C楼,10,67
分析测试中心1号楼,8,14
徐汇体育馆,16,237
学生宿舍X38,16,41
陈瑞球南楼,16,32
东中院一区,8,105
机械与动力工程学院B楼－南楼,8,15
工程力学实验中心,22,452
第二食堂,10,382
徐汇新建楼,4,1
学生宿舍X38,8,6
徐汇新中院,22,3
徐汇体育馆,18,136
学生服务中心,10,104
分析测试中心1号楼,10,32
东中院一区,10,87
第二食堂,8,435
学生宿舍X38,10,4
工程力学实验中心,8,150
学生服务中心,8,46
图书馆,18,46
机械与动力工程学院C楼,8,18
